cap_number,po_initials,po_race,po_sex,allegations_investigated,investigative_findings,disciplinary_findings
13-0030,DO,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0030,CG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0030,CG,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0031,TW,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0031,TW,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0031,TW,Black,Male,Unprofessional Conduct,Sustained Finding,Guilty Finding
13-0031,TW,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0032,AG,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0032,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0032,WF,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0032,AG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0032,SB,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0032,SB,White,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0033,JF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0033,JF,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0033,HH,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0033,JF,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0033,HH,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0034,MB,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0034,GR,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0034,RL,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0034,KD,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0034,DM,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0034,MS,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0034,JA,Latino,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0034, B,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0035,DM,White,Male,Lack of Service,Sustained Finding,Training/Counseling
13-0035,JB,White,Female,Lack of Service,Sustained Finding,Training/Counseling
13-0036,KR,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0036,KR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0036,TM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0036,TM,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0037,TF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0037,TF,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0037,MW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0037,MW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0038,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0038,DM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0039,DC,Asian,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0039,DC,Asian,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0039,DC,Asian,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0039,DC,Asian,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0040,JH,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0040,JH,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0040,KG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0040,JO,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0042,JL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0043,UNK,UNK,UNK,Investigation OnGoing,Pending,Pending
13-0044,JL,White,Male,Civil Rights Complaint,Other than Sustained Finding,Not Applicable
13-0044,LT,Black,Male,Civil Rights Complaint,Other than Sustained Finding,Not Applicable
13-0045,NN,Black,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0045,JM,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0046,EM,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0046,MJ,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0047,NR,White,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0047,SD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0048,JB,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0049,XP,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0049,XP,Latino,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0049,PH,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0049,PH,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0050,JC,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0050,JC,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0051,AF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0051,AF,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0051,MW,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0051,LL,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0051,LL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0476,DC,Black,Female,Investigation OnGoing,Pending,Pending
13-0051,MW,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0052,KM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0052,ES,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0053,CD,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0053,CD,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0053,DR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0053,DR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0053,DR,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0054,LM,White,Female,Harassment,Other than Sustained Finding,Not Applicable
13-0055,JV,Black,Male,Physical Abuse,Sustained Finding,Guilty Finding
13-0055,JV,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0055,JV,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0055,JV,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0056,GR,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0056,RG,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0057,VP,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0057,IN,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0058,JC,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0058,JW,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0058,JW,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
13-0058,JC,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0059,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0060,GD,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0060,DG,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0060,PP,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0060,NM,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0060,DM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0060,MJ,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0061,AW,Black,Female,Domestic,Other than Sustained Finding,Not Applicable
13-0061,AW,Black,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0062,MC,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0062,MC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0063,JD,Latino,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0064,UNK,UNK,UNK,Harassment,Other than Sustained Finding,Not Applicable
13-0065,WS,Black,Male,Physical Abuse,Sustained Finding,No Guilty Findings
13-0066,CS,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0066,CS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0066,JM,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0066,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0067,UNK,UNK,UNK,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0067,UNK,UNK,UNK,Lack of Service,Other than Sustained Finding,Not Applicable
13-0068,MR,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0068,CL,Black,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0068,UNK,UNK,UNK,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0068,MR,Black,Male,Sexual Crime/Misconduct,Other than Sustained Finding,Not Applicable
13-0068,MR,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0068,EM,Latino,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0068,FS,Black,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0068,EM,Latino,Male,Sexual Crime/Misconduct,Other than Sustained Finding,Not Applicable
13-0068,EM,Latino,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0068,N,Black,Female,Departmental Violation,Sustained Finding,Training/Counseling
13-0068,DS,Black,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0068,SG,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0068,BM,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0068,SJ,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0069,WN,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0069,BM,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0069,CC,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0069,RH,Asian,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0070,JT,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0070,JT,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0070,GS,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0070,GS,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0071,JL,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0071,DD,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0071,DD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0071,DD,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0072,EE,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0072,JW,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0073,S,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0073,S,Black,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0074,MK,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0074,MK,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0075,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0075,UNK,UNK,UNK,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0076,JC,Asian,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0076,ER,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0076,CG,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0076,CM,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0076,AH,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0077,AB,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0077,KE,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0077,KE,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0077,AB,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0078,RA,White,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0078,RA,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0078,DS,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0078,DS,Latino,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0079,RT,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0080,KS,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0080,VB,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0080,KS,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0081,AA,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0082,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0082,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0083,GB,Latino,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0083,GB,Latino,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0083,GB,Latino,Female,Sexual Crime/Misconduct,Other than Sustained Finding,Not Applicable
13-0083,EF,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0083,EF,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0083,GW,Black,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0083,GW,Black,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0084,MC,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0084,MS,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0085,KR,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0085,KR,Black,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0085,KR,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0085,KR,Black,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0085,RT,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0085,ML,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0085,ML,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0085,ML,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0086,FM,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0087,RS,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0087,DL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0087,JC,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0088,GJ,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0089,DM,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0090,UNK,UNK,UNK,Investigation OnGoing,Pending,Pending
13-0090,JG,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0090,GW,Black,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0091,TW,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0092,DY,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0092,DL,Black,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0092,DY,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0092,DL,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0093,NC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0093,JS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0093,TR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0094,MK,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0094,RS,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0094,MR,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0095,BS,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0095,ML,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0096,JC,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
13-0096,JC,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
13-0096,JC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0097,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0098,CW,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0098,CW,White,Female,Departmental Violation,Sustained Finding,Training/Counseling
13-0098,CW,White,Female,Departmental Violation,Sustained Finding,Training/Counseling
13-0098,JS,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0098,BM,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0098,BM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0098,LA,White,Male,Lack of Service,Sustained Finding,Training/Counseling
13-0098,BM,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0098,MC,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0098,AG,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0099,CV,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0100,ER,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0100,DT,Asian,Male,Lack of Service,Other than Sustained Finding,Not Applicable
13-0101,CG,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0102,WD,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0102,WD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0102,JB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0102,DJ,White,Female,Departmental Violation,Sustained Finding,Training/Counseling
13-0102,DJ,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0102,JB,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0103,CG,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
13-0104,RJ,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0104,MR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0104,DS,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0104,DS,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0104,ED,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0105,SB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0105,SB,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0105,SB,White,Male,Civil Rights Complaint,Other than Sustained Finding,Not Applicable
13-0105,SB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0105,SB,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0106,OH,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0106,KW,Black,Male,Departmental Violation,Sustained Finding,No Guilty Findings
13-0106,MB,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0106,KW,Black,Male,Departmental Violation,Sustained Finding,No Guilty Findings
13-0106,AM,Latino,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0106,DC,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0106,LM,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0106,DG,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0107,JB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,RC,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,CF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,DW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,DW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,JB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,RC,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,CF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,WW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,WW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,GW,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,TL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,TR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,TK,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,GW,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,TL,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
13-0107,TL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,TK,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,TR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,AF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,AF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,JM,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0107,JM,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0108,GP,White,Male,Verbal Abuse,Sustained Finding,No Guilty Findings
13-0109,GT,Latino,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0109,GT,Latino,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0110,DW,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0111,ML,White,Male,Lack of Service,Sustained Finding,Training/Counseling
13-0112,PR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
13-0112,PR,White,Male,Harassment,Other than Sustained Finding,Not Applicable
13-0112,PR,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0113,ML,Black,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
13-0114,ML,White,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0114,ML,White,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
13-0115,DC,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
