complaint_id,officer_initials,po_race,po_sex,allegations_investigated,investigative_findings,disciplinary_findings,po_assigned_unit,po_district_number,officer_id,officer_complaint_id,discipline_id
13-0032,WF,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0032-WF,13-0032-WF-Lack of Service
13-0032,AG,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0032-AG,13-0032-AG-Physical Abuse
13-0032,SB,white,female,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0032-SB,13-0032-SB-Departmental Violation
13-0032,SB,white,female,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0032-SB,13-0032-SB-Physical Abuse
13-0033,JF,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0033-JF,13-0033-JF-Departmental Violation
13-0033,JF,white,male,Harassment,No Sustained Findings,Not Applicable,,,,13-0033-JF,13-0033-JF-Harassment
13-0033,HH,white,male,Harassment,No Sustained Findings,Not Applicable,,,,13-0033-HH,13-0033-HH-Harassment
13-0033,JF,white,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0033-JF,13-0033-JF-Departmental Violation
13-0033,HH,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0033-HH,13-0033-HH-Departmental Violation
13-0034,MB,black,female,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0034-MB,13-0034-MB-Lack of Service
13-0034,GR,black,female,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0034-GR,13-0034-GR-Lack of Service
13-0034,RL,black,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0034-RL,13-0034-RL-Lack of Service
13-0034,KD,black,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0034-KD,13-0034-KD-Lack of Service
13-0034,DM,black,female,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0034-DM,13-0034-DM-Lack of Service
13-0034,MS,black,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0034-MS,13-0034-MS-Lack of Service
13-0034,JA,latino,female,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0034-JA,13-0034-JA-Lack of Service
13-0034, B,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0034- B,13-0034- B-Lack of Service
13-0035,DM,white,male,Lack of Service,Sustained Finding,Training/Counseling,,,,13-0035-DM,13-0035-DM-Lack of Service
13-0035,JB,white,female,Lack of Service,Sustained Finding,Training/Counseling,,,,13-0035-JB,13-0035-JB-Lack of Service
13-0036,KR,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0036-KR,13-0036-KR-Departmental Violation
13-0036,KR,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0036-KR,13-0036-KR-Departmental Violation
13-0036,TM,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0036-TM,13-0036-TM-Departmental Violation
13-0036,TM,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0036-TM,13-0036-TM-Departmental Violation
13-0037,TF,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0037-TF,13-0037-TF-Departmental Violation
13-0037,TF,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0037-TF,13-0037-TF-Physical Abuse
13-0037,MW,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0037-MW,13-0037-MW-Physical Abuse
13-0037,MW,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0037-MW,13-0037-MW-Departmental Violation
13-0038,JM,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0038-JM,13-0038-JM-Departmental Violation
13-0038,DM,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0038-DM,13-0038-DM-Departmental Violation
13-0039,DC,asian,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0039-DC,13-0039-DC-Physical Abuse
13-0039,DC,asian,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0039-DC,13-0039-DC-Departmental Violation
13-0039,DC,asian,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0039-DC,13-0039-DC-Departmental Violation
13-0039,DC,asian,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0039-DC,13-0039-DC-Verbal Abuse
13-0040,JH,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0040-JH,13-0040-JH-Physical Abuse
13-0040,JH,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0040-JH,13-0040-JH-Departmental Violation
13-0040,KG,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0040-KG,13-0040-KG-Physical Abuse
13-0040,JO,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0040-JO,13-0040-JO-Physical Abuse
13-0042,JL,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0042-JL,13-0042-JL-Departmental Violation
13-0043,,,,Investigation OnGoing,Pending,Pending,,,,13-0043-,13-0043--Investigation OnGoing
13-0044,JL,white,male,Civil Rights Complaint,No Sustained Findings,Not Applicable,,,,13-0044-JL,13-0044-JL-Civil Rights Complaint
13-0044,LT,black,male,Civil Rights Complaint,No Sustained Findings,Not Applicable,,,,13-0044-LT,13-0044-LT-Civil Rights Complaint
13-0045,NN,black,female,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0045-NN,13-0045-NN-Unprofessional Conduct
13-0045,JM,black,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0045-JM,13-0045-JM-Unprofessional Conduct
13-0046,EM,latino,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0046-EM,13-0046-EM-Physical Abuse
13-0046,MJ,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0046-MJ,13-0046-MJ-Physical Abuse
13-0047,NR,white,female,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0047-NR,13-0047-NR-Unprofessional Conduct
13-0047,SD,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0047-SD,13-0047-SD-Departmental Violation
13-0048,JB,white,male,Harassment,No Sustained Findings,Not Applicable,,,,13-0048-JB,13-0048-JB-Harassment
13-0049,XP,latino,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0049-XP,13-0049-XP-Physical Abuse
13-0049,XP,latino,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0049-XP,13-0049-XP-Verbal Abuse
13-0049,PH,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0049-PH,13-0049-PH-Verbal Abuse
13-0049,PH,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0049-PH,13-0049-PH-Physical Abuse
13-0050,JC,white,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0050-JC,13-0050-JC-Unprofessional Conduct
13-0050,JC,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0050-JC,13-0050-JC-Physical Abuse
13-0051,AF,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0051-AF,13-0051-AF-Departmental Violation
13-0051,AF,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0051-AF,13-0051-AF-Physical Abuse
13-0051,MW,black,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0051-MW,13-0051-MW-Physical Abuse
13-0051,LL,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0051-LL,13-0051-LL-Physical Abuse
13-0051,LL,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0051-LL,13-0051-LL-Departmental Violation
15-0476,DC,black,female,Investigation OnGoing,Pending,Pending,,,,15-0476-DC,15-0476-DC-Investigation OnGoing
13-0051,MW,black,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0051-MW,13-0051-MW-Departmental Violation
13-0052,KM,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0052-KM,13-0052-KM-Verbal Abuse
13-0052,ES,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0052-ES,13-0052-ES-Verbal Abuse
13-0053,CD,black,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0053-CD,13-0053-CD-Departmental Violation
13-0053,CD,black,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0053-CD,13-0053-CD-Departmental Violation
13-0053,DR,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0053-DR,13-0053-DR-Departmental Violation
13-0053,DR,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0053-DR,13-0053-DR-Departmental Violation
13-0053,DR,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0053-DR,13-0053-DR-Departmental Violation
13-0054,LM,white,female,Harassment,No Sustained Findings,Not Applicable,,,,13-0054-LM,13-0054-LM-Harassment
13-0055,JV,black,male,Physical Abuse,Sustained Finding,Guilty Finding,,,,13-0055-JV,13-0055-JV-Physical Abuse
13-0055,JV,black,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0055-JV,13-0055-JV-Departmental Violation
13-0055,JV,black,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0055-JV,13-0055-JV-Verbal Abuse
13-0055,JV,black,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0055-JV,13-0055-JV-Departmental Violation
13-0056,GR,white,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0056-GR,13-0056-GR-Unprofessional Conduct
13-0056,RG,white,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0056-RG,13-0056-RG-Unprofessional Conduct
13-0057,VP,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0057-VP,13-0057-VP-Verbal Abuse
13-0057,IN,black,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0057-IN,13-0057-IN-Physical Abuse
13-0058,JC,black,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0058-JC,13-0058-JC-Departmental Violation
13-0058,JW,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0058-JW,13-0058-JW-Lack of Service
13-0058,JW,white,male,Departmental Violation,Sustained Finding,Guilty Finding,,,,13-0058-JW,13-0058-JW-Departmental Violation
13-0058,JC,black,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0058-JC,13-0058-JC-Lack of Service
13-0059,,,,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0059-,13-0059--Physical Abuse
13-0060,GD,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0060-GD,13-0060-GD-Lack of Service
13-0060,DG,black,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0060-DG,13-0060-DG-Lack of Service
13-0060,PP,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0060-PP,13-0060-PP-Lack of Service
13-0060,NM,black,female,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0060-NM,13-0060-NM-Lack of Service
13-0060,DM,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0060-DM,13-0060-DM-Lack of Service
13-0060,MJ,black,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0060-MJ,13-0060-MJ-Lack of Service
13-0061,AW,black,female,Domestic,No Sustained Findings,Not Applicable,,,,13-0061-AW,13-0061-AW-Domestic
13-0061,AW,black,female,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0061-AW,13-0061-AW-Physical Abuse
13-0062,MC,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0062-MC,13-0062-MC-Departmental Violation
13-0062,MC,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0062-MC,13-0062-MC-Departmental Violation
13-0063,JD,latino,male,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0063-JD,13-0063-JD-Unprofessional Conduct
13-0064,,,,Harassment,No Sustained Findings,Not Applicable,,,,13-0064-,13-0064--Harassment
13-0065,WS,black,male,Physical Abuse,Sustained Finding,No Guilty Findings,,,,13-0065-WS,13-0065-WS-Physical Abuse
13-0066,CS,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0066-CS,13-0066-CS-Physical Abuse
13-0066,CS,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0066-CS,13-0066-CS-Departmental Violation
13-0066,JM,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0066-JM,13-0066-JM-Physical Abuse
13-0066,JM,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0066-JM,13-0066-JM-Departmental Violation
13-0067,,,,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0067-,13-0067--Verbal Abuse
13-0067,,,,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0067-,13-0067--Lack of Service
13-0068,MR,black,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0068-MR,13-0068-MR-Departmental Violation
13-0068,CL,black,female,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0068-CL,13-0068-CL-Physical Abuse
13-0068,,,,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0068-,13-0068--Unprofessional Conduct
13-0068,MR,black,male,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable,,,,13-0068-MR,13-0068-MR-Sexual Crime/Misconduct
13-0068,MR,black,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0068-MR,13-0068-MR-Verbal Abuse
13-0068,EM,latino,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0068-EM,13-0068-EM-Departmental Violation
13-0068,FS,black,female,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0068-FS,13-0068-FS-Physical Abuse
13-0068,EM,latino,male,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable,,,,13-0068-EM,13-0068-EM-Sexual Crime/Misconduct
13-0068,EM,latino,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0068-EM,13-0068-EM-Verbal Abuse
13-0068,N,black,female,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0068-N,13-0068-N-Departmental Violation
13-0068,DS,black,female,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0068-DS,13-0068-DS-Physical Abuse
13-0068,SG,black,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0068-SG,13-0068-SG-Departmental Violation
13-0068,BM,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0068-BM,13-0068-BM-Departmental Violation
13-0068,SJ,black,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0068-SJ,13-0068-SJ-Departmental Violation
13-0069,WN,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0069-WN,13-0069-WN-Departmental Violation
13-0069,BM,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0069-BM,13-0069-BM-Physical Abuse
13-0069,CC,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0069-CC,13-0069-CC-Physical Abuse
13-0069,RH,asian,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0069-RH,13-0069-RH-Departmental Violation
13-0070,JT,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0070-JT,13-0070-JT-Departmental Violation
13-0070,JT,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0070-JT,13-0070-JT-Physical Abuse
13-0070,GS,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0070-GS,13-0070-GS-Departmental Violation
13-0070,GS,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0070-GS,13-0070-GS-Physical Abuse
13-0071,JL,black,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0071-JL,13-0071-JL-Departmental Violation
13-0071,DD,white,male,Departmental Violation,Sustained Finding,Training/Counseling,,,,13-0071-DD,13-0071-DD-Departmental Violation
13-0071,DD,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0071-DD,13-0071-DD-Departmental Violation
13-0071,DD,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0071-DD,13-0071-DD-Verbal Abuse
13-0072,EE,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0072-EE,13-0072-EE-Lack of Service
13-0072,JW,white,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0072-JW,13-0072-JW-Lack of Service
13-0073,S,black,female,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0073-S,13-0073-S-Lack of Service
13-0073,S,black,female,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0073-S,13-0073-S-Unprofessional Conduct
13-0074,MK,white,male,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0074-MK,13-0074-MK-Departmental Violation
13-0074,MK,white,male,Verbal Abuse,No Sustained Findings,Not Applicable,,,,13-0074-MK,13-0074-MK-Verbal Abuse
13-0075,,,,Departmental Violation,No Sustained Findings,Not Applicable,,,,13-0075-,13-0075--Departmental Violation
13-0075,,,,Unprofessional Conduct,No Sustained Findings,Not Applicable,,,,13-0075-,13-0075--Unprofessional Conduct
13-0076,JC,asian,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0076-JC,13-0076-JC-Physical Abuse
13-0076,ER,black,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0076-ER,13-0076-ER-Physical Abuse
13-0076,CG,black,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0076-CG,13-0076-CG-Physical Abuse
13-0076,CM,black,male,Lack of Service,No Sustained Findings,Not Applicable,,,,13-0076-CM,13-0076-CM-Lack of Service
13-0076,AH,white,male,Physical Abuse,No Sustained Findings,Not Applicable,,,,13-0076-AH,13-0076-AH-Physical Abuse
