complaint_id,date_received,district_occurrence,general_cap_classification,summary
15-0170,4/16/15,25,LACK OF SERVICE,"According to the complainant, on 4-12-15 at 8:00pm, they did not receive proper service from unidentified 25th District officers."
15-0171,4/20/15,8,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 11/2/14 at 6:30pm, they did not receive proper service from a detective assigned to Northeast Detective Division."
15-0172,4/16/15,3,LACK OF SERVICE,"According to the complainant, on 2-13-15 at approximately 9:50pm, they received an unprofessional e-mail communication from an unidentified 3rd District officer."
15-0173,4/16/15,19,LACK OF SERVICE,"According to the complainant, on 4-2-15, they did not receive proper service from officers, assigned to the 19th District and an unknown Police Dispatcher."
15-0174,4/20/15,14,HARASSMENT,"According to the complainant, an officer assigned to the 14th District, has harassed them on several occasions."
15-0175,4/16/15,39,CRIMINAL ALLEGATION,"According to the complainant, on 4-3-15 at 2:00pm, they were threatened by an officer in the 39th District."
15-0176,4/21/15,16,VERBAL ABUSE,"According to the complainant, on 4-14-15, they did not receive proper service from an officer assigned to the 16th District."
15-0177,4/17/15,15,HARASSMENT,"According to the complainant, on 4-15-15, they noticed an officer interacting with persons they believe deals drugs on the block and harassing the complainant. The officer is assigned to the 14th District."
15-0178,4/20/15,18,CRIMINAL ALLEGATION,"According to the complainant, on 9-9-14 at 6:00am, they were coerced into making a false statement by a detective assigned to the Southwest Detective Division."
15-0179,4/20/15,15,LACK OF SERVICE,"According to the complainant, on 8-2-14 at 6:45am, did not receive proper service from unknown 15th District officers."
15-0180,4/20/15,26,PHYSICAL ABUSE,"According to the complainant, on 4-14-15 at 7:45pm, they were physically abused and improperly searched by a sergeant and officers assigned to the 26th District."
15-0181,4/20/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on behalf of a juvenile, on 4-1-15 at 11:20pm, is missing property after being released from police custody. This incident took place in the 35th District headquarters."
15-0182,4/20/15,7,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-15-15 at 11:44am, they were treated unprofessionally by a civilian employee assigned to the 7th District."
15-0183,4/20/15,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-17-14 at 8:00pm, on behalf of their client, states that they were improperly detained by a detective, assigned to Homicide, and unidentified 15th District officers."
15-0184,4/20/15,6,LACK OF SERVICE,"According to the complainant, on 4-16-15 at 11:15am, they did not receive proper service from an officer assigned to the 6th District."
15-0185,4/21/15,35,LACK OF SERVICE,"According to the complainant, on 4-15-15 at 4:30pm, they did not receive proper service from Police Radio."
15-0186,4/21/15,39,CRIMINAL ALLEGATION,"According to the complainant, on 4-14-15 at 6:30pm, unknown officers in the 39th District poisoned their dog."
15-0187,4/22/15,18,VERBAL ABUSE,"According to the complainants, on 4-12-15 at 2:30am, they were verbally abused and treated unprofessionally by an officer assigned to the 18th District."
15-0188,4/21/15,17,LACK OF SERVICE,"According to the complainant, on 4-16-15 at 10:00pm, they did not receive proper service from unknown 17th District officers."
15-0189,4/21/15,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-17-15 at 9:15pm, they were improperly searched and their property damaged by unidentified officers within the 24th District."
15-0190,4/22/15,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-19-15 at 3:00am, they were falsely arrested by officers assigned to the 22nd District."
15-0191,4/24/15,26,PHYSICAL ABUSE,"According to the complainant, on 4-18-15 at 1:15am, they were physically abused by an officer assigned to the 22nd District."
15-0192,4/24/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-17-15 at 6:53pm, unknown 35th District officers did not follow proper police procedure."
15-0193,4/29/15,25,LACK OF SERVICE,"According to the complainant, on 4-17-15, they did not receive proper service from a detective assigned to the Special Victims Unit."
15-0194,4/27/15,18,LACK OF SERVICE,"According to the complainant, on 3-25-15, they did not receive proper service from a detective assigned to Southwest Detective Division.."
15-0195,4/24/15,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-13-15, they were threatened via social media by an officer assigned to the Narcotics Field Unit."
15-0196,4/27/15,5,LACK OF SERVICE,"According to the complainant, on 2-9-14, they did not receive proper service from an officer assigned to the 5th District."
15-0197,4/29/15,35,HARASSMENT,"According to the complainant, on 4-23-15 at 7:30pm, an officer assigned to the 14th District is harassing and threatening their child."
15-0198,4/29/15,15,LACK OF SERVICE,"According to the complainant, on 11-2-14 at 12:20am, they did not receive proper service from unknown officers in the 15th District."
15-0199,4/29/15,2,PHYSICAL ABUSE,"According to the complainant, on 12-8-14 at 5:45am, they were physically abused by an officer assigned to the 2nd District."
15-0200,4/29/15,6,VERBAL ABUSE,"According to the complainant, on 4-18-15 at 9:00am, they were treated unprofessionally by officers assigned to the 6th District."
15-0201,4/29/15,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, since February of 2015, have been harassed by officers assigned to the Highway Patrol Unit."
15-0202,4/30/15,35,LACK OF SERVICE,"According to the complainant, since October 2014 they have not receive proper service from officers assigned to the 35th District."
15-0203,4/30/15,14,LACK OF SERVICE,"According to the complainant, on 4-22-15 at 4:20pm, they did not receive proper service from an officer assigned to the 14th District."
15-0204,4/30/15,15,LACK OF SERVICE,"According to the complainant, on 3-22-15, they did not receive proper service and was treated unprofessionally by a detective assigned to Northeast Detective Division."
15-0205,4/30/15,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-23-15 at 3:00pm, unknown 19th District officers did not follow proper police procedure."
15-0206,4/30/15,2,LACK OF SERVICE,"According to the complainant, on 1-20-15 at 7:30pm, they are not receiving proper service from detectives and a lieutenant assigned to Northeast Detective Division."
15-0207,4/30/15,35,VERBAL ABUSE,"According to the complainant, on 4-28-15 at 5:00pm, they were treated unprofessionally by an officer assigned to the 35th District."
15-0208,5/1/15,24,LACK OF SERVICE,"According to the complainant, on 4-26-15 at 11:30am, they did not receive proper service from unidentified 24th District officers."
15-0209,5/1/15,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-23-15 at 11:00am, unidentified officers assigned to the 18th District are accessing departmental computer systems for non-departmental reasons."
15-0210,5/1/15,6,LACK OF SERVICE,"According to the complainant, on 3-31-15 at 11:00am, they did not receive proper service from an officer assigned to the 6th District."
15-0211,5/4/15,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on behalf of their parent, on 9-19-13 at 11:00am, an officer assigned to the Narcotics Bureau, did not return all of their parents property back to them."
15-0212,5/1/15,35,LACK OF SERVICE,"According to the complainant, on 4-10-15 at 12:30pm, they were verbally abused and treated unprofessionally by an officer assigned to Traffic."
15-0213,5/1/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-12-15 at 7:45pm, they were physically abused and their property not returned to them by unidentified officers in the 14th district."
15-0214,5/4/15,7,VERBAL ABUSE,"According to the complainant, on 4-24-15 at 5:37pm, their children and their friend were verbally abused by an off-duty officer assigned to the 8th District."
15-0215,5/5/15,2,PHYSICAL ABUSE,"According to the complainant, on 8-20-14 at 12:50am, they were physically abused by officers assigned to the 2nd District."
15-0216,5/5/15,12,PHYSICAL ABUSE,"According to the complainant, on 4-25-15 at 8:00pm, they were physically abused by an officer assigned to the 12th District."
15-0217,5/6/15,9,PHYSICAL ABUSE,"According to the complainant, on 4-5-15 at 6:48pm, they were physically abused by a sergeant assigned to Center City District."
15-0218,5/6/15,24,LACK OF SERVICE,"According to the complainant, on 4-23-15, they did not receive proper service from unknown Highway Patrol officers."
15-0219,5/6/15,3,PHYSICAL ABUSE,"According to the complainant, on 5-1-15 at 4:00pm, they were verbally abused and threatened by an unknown officer assigned to the Ordinance Disposal Unit."
15-0220,5/6/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-2-15 at 4:30pm, they were treated unprofessionally by officers assigned to the 14th District."
15-0221,5/6/15,7,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-3-15 at 2:00pm, their property was damaged by unknown 2nd District officers."
15-0222,5/6/15,25,VERBAL ABUSE,"According to the complainant, 4-29-15 at 1:00pm, they were treated unprofessionally by unknown 25th District officers and did not receive proper service from unknown 15th District officers."
15-0223,5/8/15,17,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-25-15 at 10:00pm, an unidentified 17th District officer did not return their property."
15-0224,5/8/15,8,VERBAL ABUSE,"According to the complainant, on 3-18-15 at 9:00pm, they were verbally and physically abused by off duty sergeant and other unidentified officers."
15-0225,5/8/15,6,HARASSMENT,"According to the complainant, on 4-23-15 at 4:35pm, they were harassed and verbally abused by an officer assigned to the 6th District."
15-0226,5/8/15,26,DOMESTIC,"According to the complainant, they have been harassed by an officer assigned to the 25th District."
15-0227,5/8/15,35,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 5-2-15 at 1:00pm, they were inappropriately touched by an officer assigned to the 35th District."
15-0228,5/11/15,39,PHYSICAL ABUSE,"According to the complainant, on 3-20-15 at 1:20am, they were physically abused by unidentified 39th District officers."
15-0229,5/13/15,6,LACK OF SERVICE,"According to the complainant, on 5-4-15 at 2:07am, they did not receive proper service from an unknown 911 police dispatcher."
15-0230,5/11/15,22,CRIMINAL ALLEGATION,"According to the complainant, on 5-2-15, 11:00am, they are missing property after an officer assigned to the Narcotics Field Unit executed a search warrant and damaged property at their residence."
15-0231,5/11/15,25,PHYSICAL ABUSE,"According to the complainant, on 5-5-15 at 9:50pm, they are missing property and treated unprofessionally by unknown officers in the 25th District."
15-0232,5/11/15,35,LACK OF SERVICE,"According to the complainant on 4-28-15 at 12:00pm, they did not receive proper service from a sergeant and officer assigned to the 35th District."
15-0233,5/12/15,3,LACK OF SERVICE,"According to the complainant, on 5-5-15 at 6:45pm, they did not receive proper service from an officer and two other unknown 3rd District officers."
15-0234,5/12/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-28-15 at 11:40pm, an officer assigned to the 6th District, did not follow proper police procedures and damaged their property."
15-0235,5/12/15,12,HARASSMENT,"According to the complainant, on 4-26-15 at 1:00am, they were harassed by a sergeant in the 12th District."
15-0236,5/12/15,15,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-25-15, 2:13am, they were falsely arrested by unknown 15th District officers."
15-0237,5/11/15,N/A,CRIMINAL ALLEGATION,"According to the complainant, on 4-25-15 at 10:00pm, they were threatened by an officer assigned to the 15th District."
15-0238,5/13/15,35,VERBAL ABUSE,"According to the complainant, on 9-23-12 at 10:00am, they were verbally abused by unknown 35th District officers."
15-0239,5/13/15,35,PHYSICAL ABUSE,"According to the complainant, on 5-7-15 at 7:00pm, they were physically abused and falsely arrested by unknown officers in the 35th District."
15-0240,5/13/15,9,VERBAL ABUSE,"According to the complainant, on 4-30-15 at 9:18pm, they were physically and verbally abused by unknown officers assigned to the Criminal Intelligence Unit."
15-0241,5/15/15,24,LACK OF SERVICE,"According to the complainant, on 5-8-15 at 9:30pm, they did not receive proper service from unknown officers in the 24th District."
15-0242,5/18/15,15,NON-INVESTIGATORY INCIDENT,"According to the complainant, they were harassed and treated unprofessionally by an unknown officer in the 15th District."
15-0243,5/15/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-8-15 at 7:30pm, a sergeant assigned to the 6th District, did not follow proper police procedures."
15-0244,5/15/15,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-30-15 at 9:00am, they were treated unprofessionally by an officer in the 6th District."
15-0245,5/15/15,6,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-30-15 at 8:15am, they were treated unprofessionally by an officer assigned to the Center City District."
15-0246,5/15/15,3,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-10-15 at 2:00pm, they were falsely detained and their property improperly searched and seized by a lieutenant and other unknown 3rd District officers."
15-0247,5/19/15,18,LACK OF SERVICE,"According to the complainant, on 1-15-15 at 5:15pm, they did not receive proper service from an officer assigned to the 18th District."
15-0248,5/19/15,25,UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-9-15 at 9:40am, they were treated unprofessionally by an officer assigned to the Highway Patrol Unit."
15-0249,5/19/15,8,PHYSICAL ABUSE,"According to the complainant, they were physically abused by officers assigned to the 8th District."
15-0250,5/21/15,35,LACK OF SERVICE,"According to the complainant, on 5-8-15, on behalf of their minor, states they did not receive proper service from unidentified Northwest Division detectives."
15-0251,5/20/15,17,PHYSICAL ABUSE,"According to the complainant, on 5-15-15 at 1:01am, they were threatened by officers assigned to the 17th District."
15-0252,5/21/15,17,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-27-15 at 7:35pm, they were racially profiled by unknown 17th District officers."
15-0253,5/21/15,18,HARASSMENT,"According to the complainant, on 5-17-15 at 3:00pm, they were harassed by an officer assigned to the 3rd District."
15-0254,5/21/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-25-15 at 12:22am, they were improperly detained by an officer assigned to the 14th District."
15-0255,5/21/15,18,HARASSMENT,"According to the complainant, on 4-29-15 at 11:30am, they were harassed by unknown 18th District officers."
15-0256,5/21/15,8,HARASSMENT,"According to the complainant, on 5-14-15 at 12:30pm, they were harassed and threatened by off-duty police civilian dispatcher and an off-duty officer assigned to the 24th District."
15-0257,5/21/15,17,HARASSMENT,"According to the complainant, in November 2014, they did not receive proper service from and is being harassed by an officer assigned to the 17th District."
15-0258,5/21/15,24,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 4-2-15 at 2:00pm, they were indecently assaulted by an officer assigned to the Narcotics Strike Force."
15-0259,5/26/15,9,VERBAL ABUSE,"According to the complainant, on 5-20-15 at 10:50am, they were treated unprofessionally by an officer assigned to Neighborhood Services Unit."
15-0260,5/21/15,22,CRIMINAL ALLEGATION,"According to the complainant, in 2011, an officer assigned to the 22nd District and officer assigned to the Narcotics Field Unit fabricated evidence and falsified information to make an arrest."
15-0261,5/22/15,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-14-15 at 11:00pm, they were treated unprofessionally by an officer assigned to Highway Patrol."
15-0262,5/22/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-14-15 at 12:15am, they did not receive proper service from an officer assigned to the 19th District."
15-0263,5/26/15,39,VERBAL ABUSE,"According to the complainant, on 5-4-15 at 7:45am, they were verbally abused by officers assigned to Traffic."
15-0264,5/26/15,15,PHYSICAL ABUSE,"According to the complainant, on 4-1-15 at 8:30am, they were verbally and physically abused by a sergeant and officer assigned to the 15th District."
15-0265,5/26/15,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-19-15 at 7:40pm, they were treated unprofessionally by an officer assigned to Highway Patrol."
15-0266,5/27/15,18,HARASSMENT,"According to the complainant, between October 2013 and March 2014, they have been harassed by an unidentified 18th District officers."
15-0267,9/2/15,12,UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-20-15 at 12:56pm, they were treated unprofessionally by unidentified 12th District officers and supervisors."
15-0268,5/27/15,1,PHYSICAL ABUSE,"According to the complainant, on 5-15-15 at 11:30pm, they were physically and verbally abused by unknown 1st District officers."
15-0269,5/29/15,19,VERBAL ABUSE,"According to the complainant, on 5-22-15 at 9:00am, they were verbally abused and treated unprofessionally by officers from Highway Patrol."
15-0270,5/29/15,17,LACK OF SERVICE,"According to the complainant, on 3-20-15 at 11:00am, they did not receive proper service from a supervisor and officers assigned to the 17th District."
15-0271,6/3/15,12,LACK OF SERVICE,"According to the complainant, on 2-11-15 at 10:00pm, they did not receive proper service from officers assigned to the 12th District."
15-0272,6/1/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-20-00 at 8:00pm, an officer assigned to the 19th District confiscated property without following proper police procedures."
15-0273,6/1/15,16,LACK OF SERVICE,"According to the complainant, on 1-5-15 at 9:25am, they did not receive proper service from a detective assigned to Southwest Detective Division."
15-0274,6/1/15,25,PHYSICAL ABUSE,"According to the complainant, on 5-13-15 at 7:10pm, they were physically abused by unknown officers in the 25th District."
15-0275,6/1/15,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-24-13 at 9:30pm, they were falsely arrested by an officer assigned to Highway Patrol."
15-0276,6/3/15,8,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-24-15 at 10:33am, they were harassed by an officer from the Canine Unit."
15-0277,6/1/15,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-7-15 at 4:15pm, they were falsely arrested by unknown 26th District officers."
15-0278,6/1/15,12,VERBAL ABUSE,"According to the complainant, on 12-13-14 at 2:26am, they were verbally abused by officers assigned to the 12th District."
15-0279,6/2/15,8,PHYSICAL ABUSE,"According to the complainant, on 5-22-15 at 10:05pm, their juvenile was physically abused and falsely arrested by officers assigned to the 8th District."
15-0280,6/2/15,9,PHYSICAL ABUSE,"According to the complainant, on 5-23-15 at 6:55pm, they were physically abused by officers from Highway Patrol and did not receive proper service from an unidentified supervisor."
15-0281,6/3/15,14,LACK OF SERVICE,"According to the complainant, on 4-13-14 at 4:45pm, they did not receive proper service from an officer assigned to the 14th District."
15-0282,6/2/15,14,HARASSMENT,"According to the complainant, on 5-29-15 at 3:30am, an officer assigned to the 14th District, conducted themselves unprofessionally while on-duty."
15-0283,6/3/15,6,DOMESTIC,"According to the complainant, they are being harassed by an off-duty officer assigned to the 19th District."
15-0284,6/3/15,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-29-15 at 11:00am, they were harassed by officers assigned to the 2nd District."
15-0285,6/3/15,25,CIVIL RIGHTS COMPLAINT,"According to the complainant, since the middle of April 2015, they have been harassed by a known officer and other unknown 25th District officers."
15-0286,6/5/15,17,PHYSICAL ABUSE,"According to the complainant, on 5-24-15 at 10:10pm, they were physically abused by officers assigned to the 17th District."
15-0287,6/4/15,5,LACK OF SERVICE,"According to the complainant, on 3-17-15 at approximately 3:30pm, they did not receive proper service from a lieutenant, sergeant, and other unidentified 5th District officers."
15-0288,6/4/15,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-26-15 at 2:30am, they were harassed by an officer assigned to the 22nd District."
15-0289,6/8/15,15,VERBAL ABUSE,"According to the complainant, on 5-26-15, they were verbally abused and did not receive proper service from unknown 15th District officers and NEDD personnel."
15-0290,6/4/15,15,UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-30-15 at 12:15pm, they were physically and verbally abused by unknown 15th District officers."
15-0291,6/5/15,6,PHYSICAL ABUSE,"According to the complainant, on 06-05-15, they were physically abused by an unknown officer assigned to the 25th District."
15-0292,6/3/15,3,LACK OF SERVICE,"According to the complainant, on 5-30-15 at 2:45pm, they did not receive proper service from and was verbally abused by an officer assigned to the 3rd District."
15-0293,6/8/15,19,PHYSICAL ABUSE,"According to the complainant, on 5-28-15 at 7:30pm, they were physically abused and falsely detained by unknown 19th District officers."
15-0294,6/5/15,25,LACK OF SERVICE,"According to the complainant, on 5-22-15 at 5:24pm, officers assigned to the 25th District, were rude and unprofessional during their handling of a domestic incident."
15-0295,6/8/15,23,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-25-15 at 9:04pm, they were falsely arrested by an officer assigned to the 22nd District."
15-0296,6/8/15,1,VERBAL ABUSE,"According to the complainant, on 5-20-15 at 5:00pm, they were verbally abused by an officer assigned to the 1st District."
15-0297,6/8/15,15,PHYSICAL ABUSE,"According to the complainant, on 6-3-15 at 9:15pm, they were physically and verbally abused by unknown 15th District officers and did not receive proper service from their supervisor."
15-0298,6/10/15,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-25-14 at 7:00am, they were treated unprofessionally by an officer assigned to Traffic and did not receive proper service from an unidentified 14th District officer."
15-0299,6/8/15,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-28-15 at 2:38am, their property was not returned to them by an officer assigned to the 35th District."
15-0300,6/10/15,9,PHYSICAL ABUSE,"According to the complainant, on 6-7-15 at 11:20am, they were physically abused by an officer assigned to the Police Academy."
15-0301,6/10/15,16,LACK OF SERVICE,"According to the complainant, on 4-23-15 at approximately 3:00pm, their spouse did not receive proper service from a lieutenant, sergeant, and officers assigned to the 16th District."
15-0302,6/10/15,15,PHYSICAL ABUSE,"According to the complainant, on 5-31-15 at 12:00am, on behalf of their sibling, states that they were physically abused by an officer assigned to the 15th District."
15-0303,6/10/15,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-7-15 at 9:01pm, they were improperly issued a traffic citation by an officer assigned to the 2nd District."
15-0304,6/11/15,12,PHYSICAL ABUSE,"According to the complainant, on 4-10-15 at 11:00am, they were falsely arrested and physically abused by unknown 12th District officers."
15-0305,6/11/15,35,VERBAL ABUSE,"According to the complainant, they were treated unprofessionally by an unidentified officer in the confines of the 35th District."
15-0306,6/12/15,39,LACK OF SERVICE,"According to the complainant, on 6-1-15 at 12:30pm, they did not receive proper service from an officer assigned to the 39th District."
15-0307,6/12/15,15,LACK OF SERVICE,"According to the complainant, they called 911 multiple times and did not receive proper service from unknown 15th District officers."
15-0308,6/12/15,15,VERBAL ABUSE,"According to the complainant, on 5-30-15 at 9:45pm, they were verbally abused by officers assigned to the 15th District."
15-0309,6/16/15,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, since January 2015 they have been harassed and falsely arrested by a sergeant assigned to the 26th District."
15-0310,6/12/15,2,LACK OF SERVICE,"According to the complainant, on 6-6-15 at 12:30pm, they did not receive proper service from unknown 2nd District officers."
15-0311,6/16/15,6,VERBAL ABUSE,"According to the complainant, they were treated unprofessionally by a lieutenant and detective assigned to the Homicide Unit."
15-0312,6/16/15,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-30-15 at 9:30am, a sergeant and officer assigned to the 19th District improperly searched their home."
15-0313,6/30/15,22,NON-INVESTIGATORY INCIDENT,"An anonymous complainant made several allegations about fraud occurring at a particular residence, but did not mention any involvement of a police officer. This incident took place in the confines of the 6th district."
15-0314,6/18/15,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, 5-27-15 at 5:00pm, unidentified officers assigned to Highway Patrol improperly entered their residence and damaged their property."
15-0315,6/18/15,2,VERBAL ABUSE,"According to the complainant, on 5-15-15 at 7:00pm, they were verbally abused and treated unprofessionally by a officer assigned to Highway Patrol."
15-0316,6/18/15,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-9-15 at 10:45pm, they were improperly searched and treated unprofessionally by an unidentified officer in the 15th District."
15-0317,6/18/15,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-8-15 at 8:23am, they were falsely arrested and physically abused by unknown 26th District officers."
15-0318,6/18/15,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-2-15 at 10:16pm, unidentified 26th District officers improperly entered their property."
15-0319,6/22/15,14,VERBAL ABUSE,"According to the complainant, on 6-14-15 at 5:40pm, they were harassed by an officer assigned to the 14th District."
15-0320,6/18/15,12,LACK OF SERVICE,"According to the complainant, on 4-6-15 at 11:00am, they did not receive proper service from unknown 12th District officers."
15-0321,6/18/15,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-16-15 at 10:0am, they were harassed by unknown 14th District officers."
15-0322,6/18/15,18,PHYSICAL ABUSE,"According to the complainant, on 6-15-15 at 10:30pm, they were treated unprofessionally by a sergeant assigned to the 1st District."
15-0323,6/18/15,2,VERBAL ABUSE,"According to the complainant, on 6-14-15 at 2:00pm, they were treated unprofessionally by an officer assigned to the 2nd District."
15-0324,6/18/15,12,PHYSICAL ABUSE,"According to the complainant, on 5-22-15 at 10:00am, a juvenile was physically abused by unknown 12th District officers."
15-0325,6/19/15,19,LACK OF SERVICE,"According to the complainant, on 6-15-15 at 9:52pm, they did not receive proper service from unknown 19th District officers."
15-0326,6/22/15,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-14-15 at 2:50pm, they were treated unprofessionally by an officer assigned to the 26th District."
15-0327,6/22/15,15,CRIMINAL ALLEGATION,"According to the complainant, on 6-13-15 at 11:45pm, they were physically abused by an off-duty officer assigned to the 22nd District."
15-0328,6/24/15,19,PHYSICAL ABUSE,"According to the complainant, on 6-8-15 at 7:43pm, they were harassed by officers assigned to the 19th District."
15-0329,6/24/15,19,VERBAL ABUSE,"According to the complainant, on 6-20-15 at 9:00pm, they were verbally abused by an officer assigned to the 19th District."
15-0330,6/24/15,8,LACK OF SERVICE,"According to the complainant, on 6-7-15 at approximately 7:00pm, they did not receive proper service from an unknown 8th District supervisor."
